Sentence,Protein,UniProtId,Phenotype,HPOId,type,Label
PROT promotes changes in arterial metabolism which are similar to those an PHENO.,Insulin,P01308,atherosclerosis,HP:0002621,abs,Good-CoM
"A study was performed on 290 men to compare the level of serum prostate-specific antigen (PROT) in controls, patients with benign prostatic hyperplasia (BPH) and patients with prostatic PHENO.",PSA,Q9Y617,cancer,HP:0002664,abs,Bad-CoM
"Thus, we measured the plasma concentrations of atrial natriuretic peptide (PROT) in the patients with muscular dystrophy of various types, and studied a relationship between plasma ANP concentration and heart failure, expecting that it could be an index of PHENO in DMD patients.",ANP,P01160,heart failure,HP:0001635,abs,Bad-CoM
[PROT and blood pressure in patients with PHENO treated by repeated hemodialysis].,Parathyroid hormone,P01270,chronic renal failure,HP:0003774,abs,Bad-CoM
We have investigated the PROT activity of PHENO-associated macrophages (TAM) from 4 transplanted murine tumours in syngeneic hosts; peritoneal macrophages (native and thioglycolate-elicited) from both tumour-bearing and control animals were studied as reference cells.,PA,Q9UL45,tumour,HP:0002664,abs,Bad-CoM
The effects of chronic subcutaneous infusion of luteinising hormone-releasing hormone (PROT) have been studied in a group of 17 male patients with PHENO (HH).,LHRH,P01148,hypogonadotrophic hypogonadism,HP:0000044,abs,Bad-CoM
"Plasminogen activator (PROT) activity was analyzed in normal and transformed 10T1/2 mouse fibroblasts treated with the PHENO promoter 12-O-tetradecanoylphorbol-13-acetate (TPA) and the protease inhibitors antipain, leupeptin, and soybean trypsin inhibitor (SBTI).",PA,Q9UL45,tumor,HP:0002664,abs,Bad-CoM
The detection of impalpable PHENO by PROT or ultrasound decreased the proportion of advanced tumor detected without increasing significantly the detection of unimportant disease.,PSA,Q9Y617,cancer,HP:0002664,abs,Good-CoM
Molecular basis of leukocyte adhesion molecules in early-onset PHENO patients with decreased CD11/PROT expression on leukocytes.,CD18,P05107,periodontitis,HP:0000704,abs,Good-CoM
"However, the rapid disappearance of PROT from the PHENO area is one of the reasons for its limited clinical application.",BRM,P51531,tumour,HP:0002664,abs,Good-CoM
"Multivariate analysis, however, failed to confirm an independent prognostic value for PROT in breast PHENO patients.",Cathepsin D,P07339,cancer,HP:0002664,abs,Good-CoM
"We studied the relation between testosterone (T) and PROT in male mice, which were genetically selected for their differences in PHENO level.",VP,P01185,aggression,HP:0000718,abs,Good-CoM
"A novel X-linked gene, PROT, shows mutations in families with PHENO (DFN-1), dystonia, mental deficiency and blindness.",DDP,O60220,deafness,HP:0000365,abs,Good-CoM
BCR-PROT is a chimeric oncoprotein that exhibits deregulated tyrosine kinase activity and is implicated in the pathogenesis of Philadelphia chromosome (ph1)-positive PHENO.,ABL,P00519,leukemia,HP:0001909,abs,Good-CoM
PROT-induced vasopressor responses in essential PHENO.,Endothelin-1,P05305,hypertension,HP:0000822,abs,Bad-CoM
The aim of the present study was to assess whether cGMP release to PROT stimulation can be a biochemical marker of subsequent successful electrical cardioversion of lone PHENO to sinus rhythm.,ANP,P01160,atrial fibrillation,HP:0005110,abs,Bad-CoM
No p16INK4A/CDKN2/PROT mutations independent of p53 status in PHENO.,MTS1,P42771,soft tissue sarcomas,HP:0030448,abs,Good-CoM
The ratio of free to total PROT may increase the specificity of single serum PSA evaluations without decreasing its sensitivity for the diagnosis of prostate PHENO.,PSA,Q9Y617,cancer,HP:0002664,abs,Good-CoM
"In conclusion, tau(PROT) might be promising as a prognostic factor after castration in patient with advanced prostatic PHENO, although tau(PSA) was not a direct substitute for tau(PV).",PSA,Q9Y617,cancer,HP:0002664,abs,Good-CoM
"Frequent allelic losses on chromosome 9 are seen in a wide variety of human tumors; moreover, two genes (P16 and PROT) whose mutant alleles confer predispositions to some inherited PHENO syndromes have been identified on this chromosome.",PTC,P07949,cancer,HP:0002664,abs,Good-CoM
PROT increases renal sodium reabsorption which may contribute to PHENO.,Insulin,P01308,hypertension,HP:0000822,abs,Good-CoM
"However, splenic MZ cells, nodal MZ lymphoma, and splenic MZ PHENO showed a distinct expression of IgM and bcl-2, with high p27 (PROT) nuclear expression and undetectable or low levels of cyclin A, B, E, or D, or p21(WAF1) expression.",KIP1,P46527,lymphoma,HP:0002665,abs,Good-CoM
"PROT (PTHrP) was isolated from tumours and is thought to represent the main factor responsible for humoral PHENO, which accompanies neoplastic diseases.",Parathyroid hormone-related protein,P12272,hypercalcaemia,HP:0003072,abs,Good-CoM
[Treatment with PROT analogues in girls with PHENO does not improve final height.,LHRH,P01148,precocious puberty,HP:0000826,abs,Good-CoM
"It is proposed that overexpressed HER2 in combination with PROT causes high activity of cell-signaling networks, thereby resulting in PHENO cell proliferation.",HER3,P21860,tumor,HP:0002664,abs,Good-CoM
"In order to elucidate the role of the membrane adenosine triphosphate binding cassette-transporter cMOAT (canalicular multispecific anion transporter) (PROT/ABCC2) in cisplatin resistance of PHENO, the expression of this protein was analyzed in the platinum drug-resistant cell line MeWo CIS 1.",MRP2,Q92887,melanoma,HP:0002861,abs,Bad-CoM
PROT-TFE3 oncoprotein in papillary PHENO inactivates TFE3 and p53 through cytoplasmic sequestration.,PSF,Q16270,renal cell carcinoma,HP:0005584,abs,Good-CoM
"PROT deficiency is the major cause of congenital PHENO, an autosomic recessive disorder that affects the synthesis of aldosterone and cortisol.",Steroid 21-hydroxylase,P08686,adrenal hyperplasia,HP:0008221,abs,Good-CoM
"The fraction of PROT-positive nuclei (P = 0.0185), the intensity of nuclear staining (P = 0.0496) and a combination of both (P = 0.0070) were associated with survival of ovarian PHENO patients, as evidenced by a univariable proportional hazards model.",APE,Q3V6T2,cancer,HP:0002664,abs,Good-CoM
PROT signaling is impaired in PHENO.,Reelin,P78509,autism,HP:0000717,abs,Good-CoM
"We determined the protein expression levels of estrogen receptor, progesterone receptor, Ki67, p53 and PROT/neu in the core biopsy and the resected PHENO sample from 25 patients receiving neoadjuvant chemotherapy.",HER2,P04626,tumor,HP:0002664,abs,Bad-CoM
Increased PROT gene copy number is associated with response to gefitinib therapy in epidermal growth factor receptor-positive non-small-cell lung PHENO patients.,HER2,P04626,cancer,HP:0002664,abs,Good-CoM
[Association between LMP2/PROT gene polymorphism and the infection of PHENO B virus].,LMP7,P28062,hepatitis,HP:0012115,abs,Good-CoM
"Receptor activator of nuclear factor kappabeta ligand (PROT) has an important role in bone remodelling, and tumour necrosis factor related, apoptosis inducing ligand (TRAIL) can induce apoptosis in PHENO cells.",RANKL,O14788,cancer,HP:0002664,abs,Good-CoM
